datetime,total_demand,temp,dew,humidity,precip,windspeed,solarradiation,hour
2023-07-01 00:00:00,196,23.1,20.7,86.07,0.0,8.7,0,0
2023-07-01 01:00:00,158,22.6,20.0,85.51,0.0,8.9,0,1
2023-07-01 02:00:00,117,22.6,19.5,82.49,0.0,7.3,0,2
2023-07-01 03:00:00,74,22.0,19.4,85.43,0.0,7.3,0,3
2023-07-01 04:00:00,23,22.0,19.4,85.39,0.0,7.4,0,4
2023-07-01 05:00:00,25,22.0,19.4,85.43,0.0,5.4,0,5
2023-07-01 06:00:00,96,22.0,19.4,85.39,0.0,8.3,7,6
2023-07-01 07:00:00,200,22.6,19.5,82.45,0.0,10.5,20,7
2023-07-01 08:00:00,374,23.2,19.5,80.02,0.0,7.3,126,8
2023-07-01 09:00:00,620,24.2,20.1,77.46,0.0,14.2,183,9
2023-07-01 10:00:00,833,25.5,20.6,74.57,0.0,11.0,212,10
2023-07-01 11:00:00,901,27.0,21.7,72.64,0.0,12.7,273,11
2023-07-01 12:00:00,1011,28.2,22.1,69.58,0.0,8.4,408,12
2023-07-01 13:00:00,1017,28.8,22.2,67.61,0.0,7.4,289,13
2023-07-01 14:00:00,1015,29.2,22.2,66.14,0.0,9.6,397,14
2023-07-01 15:00:00,1010,30.5,22.9,63.93,0.0,13.3,396,15
2023-07-01 16:00:00,834,29.3,23.3,70.27,0.0,13.4,235,16
2023-07-01 17:00:00,833,30.4,23.6,67.21,0.0,20.2,396,17
2023-07-01 18:00:00,515,28.1,21.2,66.41,0.0,17.8,100,18
2023-07-01 19:00:00,238,23.9,22.0,89.07,5.43,7.0,17,19
2023-07-01 20:00:00,347,24.2,22.8,91.86,0.807,8.8,17,20
2023-07-01 21:00:00,384,23.7,22.2,91.15,0.0,14.0,12,21
2023-07-01 22:00:00,336,23.7,21.7,88.79,0.0,8.7,0,22
2023-07-01 23:00:00,201,24.1,21.7,86.61,0.054,14.8,0,23
2023-07-02 00:00:00,165,23.6,22.2,91.37,0.446,7.3,0,0
2023-07-02 01:00:00,177,23.6,22.2,91.41,0.0,10.6,0,1
2023-07-02 02:00:00,105,23.7,22.2,91.29,0.0,14.3,0,2
2023-07-02 03:00:00,44,23.7,22.2,91.41,0.0,11.1,0,3
2023-07-02 04:00:00,15,23.2,22.2,93.91,0.0,12.3,0,4
2023-07-02 05:00:00,27,23.2,21.7,91.41,0.0,14.0,0,5
2023-07-02 06:00:00,68,23.2,21.7,91.4,0.0,9.0,6,6
2023-07-02 07:00:00,143,23.2,21.7,91.41,0.0,10.5,26,7
2023-07-02 08:00:00,322,23.7,22.2,91.44,0.0,9.3,67,8
2023-07-02 09:00:00,577,24.3,22.3,88.87,0.0,12.4,142,9
2023-07-02 10:00:00,782,25.6,22.8,84.36,0.0,10.2,187,10
2023-07-02 11:00:00,882,26.8,22.8,79.04,0.0,9.3,298,11
2023-07-02 12:00:00,1052,27.9,22.8,73.76,0.0,14.2,487,12
2023-07-02 13:00:00,998,29.3,23.8,72.13,0.0,19.3,473,13
2023-07-02 14:00:00,1030,30.0,24.2,71.22,0.0,15.8,443,14
2023-07-02 15:00:00,943,30.0,24.2,71.46,0.0,12.3,299,15
2023-07-02 16:00:00,819,30.6,24.3,68.9,0.0,14.4,361,16
2023-07-02 17:00:00,688,30.1,24.2,70.73,0.0,19.8,193,17
2023-07-02 18:00:00,715,31.7,24.2,64.7,0.0,20.2,294,18
2023-07-02 19:00:00,612,31.6,23.7,63.0,0.0,13.2,116,19
2023-07-02 20:00:00,616,32.0,22.3,56.4,0.0,19.9,27,20
2023-07-02 21:00:00,454,29.3,23.3,70.26,0.0,12.8,13,21
2023-07-02 22:00:00,320,28.7,24.2,76.68,0.0,12.5,1,22
2023-07-02 23:00:00,215,28.1,24.3,79.75,0.0,12.6,1,23
2023-07-03 00:00:00,115,28.2,23.8,77.08,0.0,17.4,0,0
2023-07-03 01:00:00,46,27.7,23.3,76.8,0.0,12.5,0,1
2023-07-03 02:00:00,22,27.7,22.2,72.33,0.0,5.6,0,2
2023-07-03 03:00:00,10,27.1,22.2,74.62,0.0,9.4,0,3
2023-07-03 04:00:00,12,26.9,21.7,73.19,0.0,9.2,0,4
2023-07-03 05:00:00,54,25.4,21.7,80.11,0.0,7.5,0,5
2023-07-03 06:00:00,188,25.3,22.1,82.52,0.0,4.8,8,6
2023-07-03 07:00:00,342,25.9,22.1,79.55,0.0,5.4,35,7
2023-07-03 08:00:00,548,26.5,21.6,74.52,0.0,7.5,77,8
2023-07-03 09:00:00,558,26.6,21.6,74.16,0.0,11.0,132,9
2023-07-03 10:00:00,684,27.7,21.1,67.58,0.0,0.8,170,10
2023-07-03 11:00:00,757,29.3,22.1,65.25,0.0,7.6,241,11
2023-07-03 12:00:00,795,29.9,22.0,62.63,0.0,7.2,495,12
2023-07-03 13:00:00,835,32.1,20.9,51.86,0.0,7.8,885,13
2023-07-03 14:00:00,946,31.7,21.5,54.89,0.0,15.4,856,14
2023-07-03 15:00:00,937,32.2,20.5,50.14,0.0,19.9,433,15
2023-07-03 16:00:00,917,31.8,20.0,49.64,0.0,13.4,462,16
2023-07-03 17:00:00,983,29.5,21.6,62.55,0.0,24.9,391,17
2023-07-03 18:00:00,912,27.0,23.4,80.72,0.252,13.5,406,18
2023-07-03 19:00:00,840,27.0,23.0,78.55,0.036,0.9,92,19
2023-07-03 20:00:00,712,26.4,22.4,78.57,0.0,9.0,30,20
2023-07-03 21:00:00,650,25.9,22.4,80.89,0.0,12.5,9,21
2023-07-03 22:00:00,424,26.4,22.9,81.26,0.0,10.8,0,22
2023-07-03 23:00:00,84,26.5,23.3,82.57,0.0,16.8,0,23
2023-07-04 00:00:00,89,22.8,21.1,90.08,15.07,11.8,0,0
2023-07-04 01:00:00,70,23.8,21.4,86.61,3.825,12.9,0,1
2023-07-04 02:00:00,61,23.7,21.8,88.96,1.332,10.3,0,2
2023-07-04 03:00:00,23,23.2,21.7,91.38,0.0,8.9,0,3
2023-07-04 04:00:00,11,23.2,21.7,91.34,0.0,0.5,0,4
2023-07-04 05:00:00,25,23.2,21.7,91.2,0.0,5.3,0,5
2023-07-04 06:00:00,75,22.7,21.6,93.9,0.0,0.5,5,6
2023-07-04 07:00:00,220,23.6,22.1,91.37,0.0,9.0,50,7
2023-07-04 08:00:00,397,24.3,22.2,88.27,0.0,7.3,180,8
2023-07-04 09:00:00,700,26.1,22.8,82.13,0.0,10.5,126,9
2023-07-04 10:00:00,1037,28.3,22.7,71.63,0.0,7.7,92,10
2023-07-04 11:00:00,1115,29.8,21.1,59.39,0.0,13.1,205,11
2023-07-04 12:00:00,1136,30.9,21.1,55.78,0.0,21.6,684,12
2023-07-04 13:00:00,1150,31.5,21.0,53.85,0.0,13.4,750,13
2023-07-04 14:00:00,1256,31.5,20.6,52.35,0.0,8.3,961,14
2023-07-04 15:00:00,1180,32.7,20.0,47.15,0.0,12.4,832,15
2023-07-04 16:00:00,1064,32.6,20.5,49.1,0.0,12.8,634,16
2023-07-04 17:00:00,1168,32.0,21.0,52.24,0.0,18.1,230,17
2023-07-04 18:00:00,1289,31.0,18.5,47.29,0.0,14.7,352,18
2023-07-04 19:00:00,1245,31.1,19.9,51.44,0.0,15.6,109,19
2023-07-04 20:00:00,1275,29.9,20.6,57.32,0.0,14.0,42,20
2023-07-04 21:00:00,1430,28.5,20.2,60.67,0.0,9.9,4,21
2023-07-04 22:00:00,1209,28.8,20.3,60.03,0.0,0.7,0,22
2023-07-04 23:00:00,430,28.8,20.3,60.04,0.0,4.8,0,23
2023-07-05 00:00:00,153,26.9,20.7,69.07,0.0,8.9,0,0
2023-07-05 01:00:00,51,26.3,21.2,73.22,0.0,10.6,0,1
2023-07-05 02:00:00,57,26.4,20.8,71.34,0.0,10.8,0,2
2023-07-05 03:00:00,9,25.8,20.8,74.15,0.0,8.3,0,3
2023-07-05 04:00:00,16,25.3,20.8,76.19,0.0,8.9,0,4
2023-07-05 05:00:00,53,24.2,21.1,82.94,0.0,7.3,0,5
2023-07-05 06:00:00,211,24.1,20.7,81.34,0.0,11.6,11,6
2023-07-05 07:00:00,495,24.9,21.1,79.53,0.0,0.1,97,7
2023-07-05 08:00:00,959,26.6,21.1,71.89,0.0,7.5,81,8
2023-07-05 09:00:00,692,28.3,21.1,65.0,0.0,10.8,84,9
2023-07-05 10:00:00,479,29.8,21.6,61.5,0.0,5.2,140,10
2023-07-05 11:00:00,587,31.5,22.6,59.56,0.0,10.5,264,11
2023-07-05 12:00:00,630,31.6,21.7,55.97,0.0,0.7,917,12
2023-07-05 13:00:00,595,33.0,21.2,50.01,0.0,5.5,221,13
2023-07-05 14:00:00,547,32.6,22.1,54.09,0.0,12.1,322,14
2023-07-05 15:00:00,405,33.2,22.0,51.98,0.0,14.0,49,15
2023-07-05 16:00:00,629,28.0,20.8,64.9,0.0,24.4,98,16
2023-07-05 17:00:00,1337,27.0,22.5,76.73,0.0,3.5,235,17
2023-07-05 18:00:00,1319,28.8,22.1,67.45,0.0,0.0,386,18
2023-07-05 19:00:00,971,29.8,22.2,63.73,0.0,0.4,137,19
2023-07-05 20:00:00,722,29.8,21.8,62.16,0.0,8.9,13,20
2023-07-05 21:00:00,553,28.5,21.8,66.87,0.0,7.3,0,21
2023-07-05 22:00:00,375,27.6,22.2,72.62,0.0,6.7,0,22
2023-07-05 23:00:00,149,27.4,22.3,73.73,0.0,6.7,0,23
2023-07-06 00:00:00,89,26.8,22.8,78.96,0.0,0.0,0,0
2023-07-06 01:00:00,46,26.4,22.2,77.6,0.0,0.0,0,1
2023-07-06 02:00:00,20,25.9,22.8,83.11,0.0,0.0,0,2
2023-07-06 03:00:00,5,25.3,22.8,86.03,0.0,4.8,0,3
2023-07-06 04:00:00,15,25.3,22.8,86.01,0.0,4.8,0,4
2023-07-06 05:00:00,91,25.2,22.7,86.0,0.0,0.0,0,5
2023-07-06 06:00:00,267,24.1,22.7,92.13,0.0,6.7,7,6
2023-07-06 07:00:00,606,25.3,22.8,86.03,0.0,6.7,98,7
2023-07-06 08:00:00,1082,26.6,23.4,82.81,0.0,7.1,268,8
2023-07-06 09:00:00,712,28.3,23.3,74.58,0.0,4.8,86,9
